Character,Text
Kukuri Tachibana,Sorry Kakeru This is the only way
Kakeru Satsuki,Oneechan Yu ka
Yuka Minase,No
Misuzu Kusakabe,This is Does this mean I can meet that person
Yuka Minase,Incredible wind Man Yuka I came looking for you because you disappeared Kakerukun Good thing you didnt return first What are you looking at The clouds
Kakeru Satsuki,The moon
Yuka Minase,The moon Where Youre right Its pretty
Kakeru Satsuki,Yuka Seven years ago my older sister ended her own life Being brought up in an institution my sister was my only family Thats why I couldnt completely accept what happened and closed my heart Only Yuka who was from the same institution had always smiled at me She had stayed close and laughed for me If Yuka werent here I wonder how I wouldve turned out
Yuka Minase,Whats wrong Kakerukun
Kakeru Satsuki,No its nothing
Yuka Minase,Shall we return
Kakeru Satsuki,Even so I
Tadashi Teruya,Kakeru
Kaori Natsuki,Yuka
Yuka Minase,Kaorichan Tadashikun
Kaori Natsuki,It looks like you found Kakerukun
Yuka Minase,Yeah he was looking at the moon on the roof
Kaori Natsuki,The moon
Tadashi Teruya,You two were up on the roof alone this whole time
Kakeru Satsuki,Well yeah
Tadashi Teruya,What were you doing
Kakeru Satsuki,What do you mean Nothing much
Tadashi Teruya,Some dazzling event had occured right Kakerukun You have to send me a picture mail Picture mail
Kaori Natsuki,What kind of weird delusions are you having you idiot
Yuka Minase,Tadashikun Kaorichan youre going overboard
Tadashi Teruya,It looks like youve made me get serious You have woken up the real me inside of me You cant stop me now
Kaori Natsuki,Dont say you
Tadashi Teruya,SStrong Dang you You must be the legendary
Kakeru Satsuki,Though I dont talk much if at all with anyone other than Yuka Tadashi and Kaori casually came up to me When Im with the cheerful twosome my feelings naturally become calm
Yuka Minase,Sale
Kaori Natsuki,Yeah theyre saying that today and tomorrow theres going to be an outlet sale at Ianith
Yuka Minase,What kinds of outlets are at Ianith
Kaori Natsuki,Lots of stuff Like western clothing or general goods
Tadashi Teruya,Or indecent gravure photo shoots
Kaori Natsuki,Go to hell perverted Tadashi Hey were going right now so you wanna come too
Yuka Minase,Really That sounds fun
Kakeru Satsuki,Im fine I dont like crowds
Yuka Minase,Go ahead you dont need to mind me Sorry Ill go next time
Kakeru Satsuki,Yuka was adopted by the Minase family the year she entered elementary school The married Minase couple who had no children warmly welcomed Yuka
Yuka Minase,Well then see you tomorrow
Kakeru Satsuki,Yeah
Yuka Minase,See you
Kakeru Satsuki,Yuka On second thought should we go Ianith
Yuka Minase,Yup
Kakeru Satsuki,What is it
Yuka Minase,Because Im happy
Kakeru Satsuki,Yuka What is this
Yuka Minase,Kakerukun
Kakeru Satsuki,A black moon
